rppdId	preferredName
pk00002	Renger, Wolfram
pk00006	Humperdinck, Engelbert
pk00007	Cornelius, Otto
pk00008	Daub, Richard
pk00010	Billaudelle, Karl
pk00011	Grün, Willi H.
pk00012	Marquard, Udo
pk00013	Gabele, Anton
pk00014	Henninger, Wilhelm Albert
pk00015	Anhäuser, Uwe
pk00018	Reinirkens, Leonhard
pk00019	Oppermann, Julius
pk00020	Bücker, Carl Clemens
pk00021	Anschuez, Carl
pk00022	Anschuez, Joseph Andreas
pk00023	Giefer, Willy
pk00028	Lehnen, Ewald
pk00030	Meister, Simon
pk00031	Bodewig, Robert
pk00032	Altgeld, Johann Philipp
pk00033	Bach, Adolf
pk00034	Brückmann, Philipp Ludwig
pk00035	Röhrig, Tilman
pk00036	Isari, Andrea
pk00037	Lowak, Manuela
pk00038	Lauterbach, Ute
pk00039	Dürrbaum, Gerda
pk00040	Hessel, Joana
pk00041	Kullmann, Wilton
pk00042	Flock, Christiane
pk00043	Tradler, Martina
pk00044	Helfrich, Horst
pk00046	Piechota, Ulrike
pk00047	Bandlow, Hannelore
pk00048	Bauer, Andreas
pk00049	Berg, Birgit
pk00050	Arndt, Willy
pk00051	Caratiola, Ludwig
pk00053	Utsch, Stefan
pk00054	Weimer, Günther
pk00055	Mehrmann, Karl
pk00056	Leupold, Dagmar
pk00057	Unruh, Fritz ¬von¬
pk00058	Reitz, Edgar
pk00059	Feldhoff, Heiner
pk00060	Laszlo, Renate
pk00061	Weinert, Peter Paul
pk00062	Wassermann, Sabine
pk00063	Scherer, Rebecca
pk00064	Schmitt, Traudl
pk00065	Kaes, Wolfgang
pk00066	Seidel, Uwe
pk00069	Gemmel, Stefan
pk00070	Lenz, Mareike
pk00071	Wolf, Klaus-Peter
pk00072	Grisar, Hartmann
pk00073	Hoffmann, Josef
pk00074	Enders, Theodor
pk00076	Winter, Lars
pk00077	Adorf, Mario
pk00078	Lohrengel, Hans-Otto
pk00079	Blettenberg, Detlef
pk00080	Lemhöfer, Wolfgang
pk00081	Webb Weilacher, Patricia
pk00082	Görden, Thomas
pk00083	Schäfer, Marion
pk00084	Engelmann, Reiner
pk00085	Bukowski, Charles
pk00086	Fuchs, Eberhard
pk00087	Helmert, Raymund
pk00088	Wolf, Friedrich
pk00089	Held, Annegret
pk00090	Stokar, Walter ¬von¬
pk00091	Becker, Thorsten
pk00092	Anthes, Otto
pk00093	Saul, Horst
pk00094	Dörtbach-Scholl, Heidi
pk00096	Waibel, Friederike
pk00097	Homscheid, Maria
pk00098	Rehn, Heidi
pk00099	Moritz, Alfred
pk00101	Ortheil, Hanns-Josef
pk00102	Breuer, Thomas C.
pk00103	Ebbertz, Martin
pk00104	Fratzer, Frithjof
pk00105	Heimes, Ernst
pk00106	Kämpchen, Martin
pk00107	Knebel, Hajo
pk00108	Marx, Udo
pk00109	Masuhr, Karl F.
pk00110	Stecker, Raimund
pk00112	Binz, Hans-Dieter
pk00113	Breidenbach, Raphael
pk00114	Herzog, Rudolf
