rppdId	preferredName
pk03206	Stein, Alfred
pk02780	Weitzel, Günter
pk03187	Reuter, Johann
pk03654	Ratka, Alexander Simon
pk03508	Schmidt, Arno
pk03584	Vogt, Klaus
pk03910	Dörner, Kurt
pk03908	Moesta, Anette
pk03975	Kalfhaus, Heinz
pk03986	Kuhn, Manfred
pk04779	Menschel, Alfons
pk05027	Jacobs, Matthias
pk05009	Müller, Adolf
pk05243	Hasse, Willi
ps04603	Feick, Otto
pk06687	Abraham, Ludwig
pk06689	Abraham, Bina
pk06692	Abraham, Otto
pk06693	Haas, Anna Alice
pk06695	Abraham, Alexander
pk06696	Abraham, Karl
pk06703	Andres, Carl
pk06704	Andres, Philipp
pk06705	Andres, Jacob
pk06706	Andres, Philipp
pk06707	Andres, Friedrich Jakob
pk06708	Andres, Hans
pk06675	Alexander, Philipp
pk06677	Alexander, Georg Philipp
pk06364	Weber, Shari
pk06682	Alexander, Franz Anton
pk07309	Wollersheim, Franz
pk06702	Andres, Johann Philipp
pk06709	Andres, Ernst Ulrich
pk06681	Alexander, Georg Philipp
pk06686	Wolf, Hilde
pk06688	Abraham, Lina
pk06691	Abraham, Alexander
pk06694	Abraham, Alex
pk06996	Menges 1979
pka0152	Cadenbach, Hugo
pka0818	Settegast, Heinrich
pkc0180	König, Wilhelm
pkc0201	Matthäus, ...
pkc0115	Günther, ...
pkc0179	König, Kurt
pkc0332	Weiß, Leonhard
pkc0097	Füllroth, ...
pkc0131	Hess, ...
pkc0140	Hövel, ... ¬vom¬
pkc0130	Heß, ...
pkc0144	Horn, ...
pkc0173	Koch, Ernst
pkc0246	Rosenstock, ...
pkc0266	Schmidt, Johann
pkd1086	Else / von Cochem
pkd0988	Friedrich / von Warsberg-Saarbrücken
pma0143	Erhart, Josef
pma0374	Mertes, Franz
pma0477	Scheuermann, Wilfried
pma0575	Weisenborn, Werner
ps01201	Bilderbeck, Ludwig Franz Freiherr ¬von¬
ps00006	Arndt, Ursula
ps01199	Biegel, Johannes
ps01021	Amelrich
ps01022	Amarcius, Sextus
ps01049	Attmann
ps01052	Augenreich, Eberhart
ps01075	Balther, = Balderich
ps01082	Barz, Adam
ps01085	Baudy, Friedel
ps01190	Beutelspacher, Joh. Michael
ps01194	Beywegh, Peter Kornel ¬von¬
ps01196	Bibiena Galli da, Ferdinando
ps01007	Agnes Dorothea, Gräfin zu Waldeck
ps01039	Antz, Walther
ps01042	Arnold I., Graf von Feldenburg
ps01043	Arnold II
ps01242	Blum, Hans Jakob
ps01088	Bauer, Berta
ps01090	Bauer, Jakob
ps01098	Baumann, F
ps01103	Baumbach, Richard
ps01106	Baumhauer, Hermann
ps01217	Blaich, Evelyn
ps01258	Boell, Charles Gustave Albert
ps01262	Börtzler, Friedrich
ps01263	Boesel, Carl
ps01264	Bösel, Carl
