rppdId	preferredName	rppdUri
pk02780	Weitzel, Günter	https://rppd.lobid.org/pk02780
pk03187	Reuter, Johann	https://rppd.lobid.org/pk03187
pk03206	Stein, Alfred	https://rppd.lobid.org/pk03206
pk03508	Schmidt, Arno	https://rppd.lobid.org/pk03508
pk03584	Vogt, Klaus	https://rppd.lobid.org/pk03584
pk03654	Ratka, Alexander Simon	https://rppd.lobid.org/pk03654
pk03908	Moesta, Anette	https://rppd.lobid.org/pk03908
pk03910	Dörner, Kurt	https://rppd.lobid.org/pk03910
pk03975	Kalfhaus, Heinz	https://rppd.lobid.org/pk03975
pk03986	Kuhn, Manfred	https://rppd.lobid.org/pk03986
pk04779	Menschel, Alfons	https://rppd.lobid.org/pk04779
pk05009	Müller, Adolf	https://rppd.lobid.org/pk05009
pk05027	Jacobs, Matthias	https://rppd.lobid.org/pk05027
pk05243	Hasse, Willi	https://rppd.lobid.org/pk05243
pk06364	Weber, Shari	https://rppd.lobid.org/pk06364
pk06675	Alexander, Philipp	https://rppd.lobid.org/pk06675
pk06677	Alexander, Georg Philipp	https://rppd.lobid.org/pk06677
pk06681	Alexander, Georg Philipp	https://rppd.lobid.org/pk06681
pk06682	Alexander, Franz Anton	https://rppd.lobid.org/pk06682
pk06686	Wolf, Hilde	https://rppd.lobid.org/pk06686
pk06687	Abraham, Ludwig	https://rppd.lobid.org/pk06687
pk06688	Abraham, Lina	https://rppd.lobid.org/pk06688
pk06689	Abraham, Bina	https://rppd.lobid.org/pk06689
pk06691	Abraham, Alexander	https://rppd.lobid.org/pk06691
pk06692	Abraham, Otto	https://rppd.lobid.org/pk06692
pk06693	Haas, Anna Alice	https://rppd.lobid.org/pk06693
pk06694	Abraham, Alex	https://rppd.lobid.org/pk06694
pk06695	Abraham, Alexander	https://rppd.lobid.org/pk06695
pk06696	Abraham, Karl	https://rppd.lobid.org/pk06696
pk06702	Andres, Johann Philipp	https://rppd.lobid.org/pk06702
pk06703	Andres, Carl	https://rppd.lobid.org/pk06703
pk06704	Andres, Philipp	https://rppd.lobid.org/pk06704
pk06705	Andres, Jacob	https://rppd.lobid.org/pk06705
pk06706	Andres, Philipp	https://rppd.lobid.org/pk06706
pk06707	Andres, Friedrich Jakob	https://rppd.lobid.org/pk06707
pk06708	Andres, Hans	https://rppd.lobid.org/pk06708
pk06709	Andres, Ernst Ulrich	https://rppd.lobid.org/pk06709
pk06996	Menges 1979	https://rppd.lobid.org/pk06996
pk07309	Wollersheim, Franz	https://rppd.lobid.org/pk07309
pka0152	Cadenbach, Hugo	https://rppd.lobid.org/pka0152
pka0818	Settegast, Heinrich	https://rppd.lobid.org/pka0818
pkc0097	Füllroth, ...	https://rppd.lobid.org/pkc0097
pkc0115	Günther, ...	https://rppd.lobid.org/pkc0115
pkc0130	Heß, ...	https://rppd.lobid.org/pkc0130
pkc0131	Hess, ...	https://rppd.lobid.org/pkc0131
pkc0140	Hövel, ... ¬vom¬	https://rppd.lobid.org/pkc0140
pkc0144	Horn, ...	https://rppd.lobid.org/pkc0144
pkc0173	Koch, Ernst	https://rppd.lobid.org/pkc0173
pkc0179	König, Kurt	https://rppd.lobid.org/pkc0179
pkc0180	König, Wilhelm	https://rppd.lobid.org/pkc0180
pkc0201	Matthäus, ...	https://rppd.lobid.org/pkc0201
pkc0246	Rosenstock, ...	https://rppd.lobid.org/pkc0246
pkc0266	Schmidt, Johann	https://rppd.lobid.org/pkc0266
pkc0332	Weiß, Leonhard	https://rppd.lobid.org/pkc0332
pkd0988	Friedrich / von Warsberg-Saarbrücken	https://rppd.lobid.org/pkd0988
pkd1086	Else / von Cochem	https://rppd.lobid.org/pkd1086
pma0143	Erhart, Josef	https://rppd.lobid.org/pma0143
pma0374	Mertes, Franz	https://rppd.lobid.org/pma0374
pma0477	Scheuermann, Wilfried	https://rppd.lobid.org/pma0477
pma0575	Weisenborn, Werner	https://rppd.lobid.org/pma0575
ps00006	Arndt, Ursula	https://rppd.lobid.org/ps00006
ps01002	Adolf, Graf von Eppenstein	https://rppd.lobid.org/ps01002
ps01004	Adrcáu, Jörg	https://rppd.lobid.org/ps01004
ps01005	Agnes, Gemahlin Herzog Ottos II. von Bayern	https://rppd.lobid.org/ps01005
ps01006	Agnes von Saarbrücken	https://rppd.lobid.org/ps01006
ps01007	Agnes Dorothea, Gräfin zu Waldeck	https://rppd.lobid.org/ps01007
ps01009	Albada, Aggaeus van	https://rppd.lobid.org/ps01009
ps01013	Albrecht I.	https://rppd.lobid.org/ps01013
ps01015	Alffermann, Johann Benedict	https://rppd.lobid.org/ps01015
ps01018	Altz, Dieter	https://rppd.lobid.org/ps01018
ps01021	Amelrich	https://rppd.lobid.org/ps01021
ps01022	Amarcius, Sextus	https://rppd.lobid.org/ps01022
ps01023	Amberger, Christel	https://rppd.lobid.org/ps01023
ps01030	Amyraut, Balthasar Oktavian	https://rppd.lobid.org/ps01030
ps01031	Amiraldus, Balthasar Oktavian	https://rppd.lobid.org/ps01031
ps01034	Andreae, Henricus Johannes	https://rppd.lobid.org/ps01034
ps01035	Anna Maria Ludovica de ""Medici""	https://rppd.lobid.org/ps01035
ps01039	Antz, Walther	https://rppd.lobid.org/ps01039
ps01042	Arnold I., Graf von Feldenburg	https://rppd.lobid.org/ps01042
ps01043	Arnold II	https://rppd.lobid.org/ps01043
ps01049	Attmann	https://rppd.lobid.org/ps01049
ps01052	Augenreich, Eberhart	https://rppd.lobid.org/ps01052
ps01060	Bach, Philipp	https://rppd.lobid.org/ps01060
ps01061	Bachmann, Anneliese	https://rppd.lobid.org/ps01061
ps01063	Back, Bruno	https://rppd.lobid.org/ps01063
ps01064	Bader, Matthaeus	https://rppd.lobid.org/ps01064
ps01065	Baegert, Jean-Jacques	https://rppd.lobid.org/ps01065
ps01066	Bähr, Cornel	https://rppd.lobid.org/ps01066
ps01067	Beerwind, Rudi	https://rppd.lobid.org/ps01067
ps01068	Bagger, Boris Björn	https://rppd.lobid.org/ps01068
ps01073	Bakke, Erasmus Johannes ¬von¬	https://rppd.lobid.org/ps01073
ps01074	Balderich	https://rppd.lobid.org/ps01074
ps01075	Balther, = Balderich	https://rppd.lobid.org/ps01075
ps01078	Altes, Peter Josef	https://rppd.lobid.org/ps01078
ps01079	Bantz, Hermann	https://rppd.lobid.org/ps01079
ps01080	Barth, Rolf	https://rppd.lobid.org/ps01080
ps01082	Barz, Adam	https://rppd.lobid.org/ps01082
ps01083	Basinus	https://rppd.lobid.org/ps01083
ps01084	Bastard, Francois Joseph	https://rppd.lobid.org/ps01084
ps01085	Baudy, Friedel	https://rppd.lobid.org/ps01085
ps01088	Bauer, Berta	https://rppd.lobid.org/ps01088
ps01089	Bauer, Elmar	https://rppd.lobid.org/ps01089
ps01090	Bauer, Jakob	https://rppd.lobid.org/ps01090
ps01098	Baumann, F	https://rppd.lobid.org/ps01098
ps01103	Baumbach, Richard	https://rppd.lobid.org/ps01103
