GemSchlNr,WpNr,Gemeinde_Gemeindeteile,Landkreis,Verbandsgemeinde,PLZ
11100000,,"Koblenz, Kreisfreie Stadt",,,56068
11100000,0100,Arenberg (T.a.Ortsbezirk 1),,,
11100000,0101,Forsthaus Elisenhof,,,
11100000,0102,Jagdhaus Elisenhof,,,
11100000,0103,Mühlenbacher Hof,,,
11100000,0104,Waldersdorf,,,
11100000,0200,Arzheim (Ortsbezirk 2),,,
11100000,0300,Asterstein,,,
11100000,0400,Bubenheim (Ortsbezirk 3),,,
11100000,0500,Ehrenbreitstein,,,
11100000,0501,Festung Ehrenbreitstein,,,
11100000,0600,Güls  (Ortsbezirk 4),,,
11100000,0601,Am Schwellenberg,,,
11100000,0602,Bisholder,,,
11100000,0603,Fahrstück,,,
11100000,0604,Jufferwiese,,,
11100000,0605,Layerbach,,,
11100000,0700,Horchheim,,,
11100000,0800,Immendorf (T.a.Ortsbezirk 1),,,
11100000,0900,Karthause,,,
11100000,0901,Forsthaus Kühkopf,,,
11100000,0902,Forsthaus Remstecken,,,
11100000,0903,Kondertal,,,
11100000,0904,Forstbetriebshof Kühkopf,,,
11100000,1000,Kesselheim (Ortsbezirk 5) ,,,
11100000,1001,Am langen Stein,,,
11100000,1002,St. Michaelshof,,,
11100000,1100,Lay (Ortsbezirk 6) ,,,
11100000,1200,Lützel,,,
11100000,1300,Metternich,,,
11100000,1400,Moselweiß,,,
11100000,1500,Neuendorf,,,
11100000,1600,Niederberg,,,
11100000,1601,Haus Wester,,,
11100000,1602,Neudorf,,,
11100000,1700,Oberwerth,,,
11100000,1800,Pfaffendorf,,,
11100000,1801,Mariannenhof,,,
11100000,1900,Rauental,,,
11100000,2000,Rübenach (Ortsbezirk 7)  ,,,
11100000,2001,Werlesmühle,,,
11100000,2002,Zilzemühle,,,
11100000,2100,Stolzenfels (Ortsbezirk 8) ,,,
11100000,2101,Auf dem Gesetz (ehem.Gem.Rhens) ,,,
