Old GND ID	New GND ID
1051147409	134384741
1051147832	1018349464
1051147875	1018349391
17213188X	130437972
1051148723	170336433
1051216125	12437543X
105115085X	137537980
1051151317	1012270955
1051153034	1050300297
1051216222	1029363072
1051216230	1049354761
1051216281	123012163
142205672	1061716627
105121629X	1034891510
1051216303	11949955X
173896278	189561645
1051159652	104069155
1051216354	13637624X
1051216362	118959352
1051216370	104467377X
136240836	142104795
1051163749	121361780
1051163900	1145420729
1051164893	121087018
1051168910	1044970073
1051169119	1020239085
139575790	142128996
1051216508	1027137938
1051216540	1050477448
1027955975	116203366
1051174880	1141264471
1015675204	12131622X
1051216605	115726853
142409553	189523700
1235786218	1168156874
105121663X	128251034
1051177383	132605481
134332008	103470124X
116056932	18944181X
1051216664	105046656X
1051178428	117737984
1051178541	1051177022
1051178576	118545353
143318926	189546778
1051178975	1025284402
1051179041	137728859
1051216702	173242995
1051179149	103086757
105117919X	116670150
1051179319	117066451
1051179327	131731327
1051216710	124884539
1051216729	172247756
1051179483	1028426615
1051216737	100372546
1051179874	127867597
1051180147	11667010X
1051180341	1069677493
1051180511	138292574
105118052X	1020167254
1051180902	1051181399
105118097X	129107123
1051182492	118844458
105121677X	143931296
1051216788	130430609
1051183979	130338974
1051184126	130339385
1051216796	130501174
105121680X	10180427X
1051216818	130515582
1051216842	130526444
1051216850	101588828
1051186056	1051213924
1051186803	130534625
1051187559	1117144704
1051216885	1025368975
1051193990	119122480
1051216893	136311601
1051195837	1051195829
1051199409	1028608128
1051201152	11902151X
105121694X	1049470400
174110537	119262274
1051216958	123158621
174230613	118723464
105120481X	1012414647
1051205425	1091093520
1051205875	1199577685
108184423X	132269066
120179105	1036607453
112518451	1045406287
1082016071	13357055X
1082017124	1030562598
110657489	1044729341
116783354	1194318258
1084813092	136145361
235711-2	4202852-8
174306377	119403129
127541829	1065776608
132813459	189512253
172248051	11873069X
174084374	1146593465
119816199	103936122
119242230	134102126
174320175	1036161250
172639166	172867827
136258409	119246481
1090022778	119483297
1073360911	117422223
174049536	1036768082
1012181960	129463302
138458901	131620479
1051206111	129304581
1051206162	133608387
1051216966	1022733664
1027332307	116041234
143958844	101937537X
126228221	1031901507
1051207185	127627960
1051207924	117512265
1051216982	172861675
1051208122	133302458
1051208505	141266104
1051217016	118695525
1051217040	116459387
1051209285	11854926X
1051217059	116744324
1051209412	11679142X
1034906240	11692490X
1051209528	115580239
1051217105	120271885
1051210151	124440002
1037083121	117155470
1051211018	137106378
1051211158	1026504937
105121713X	17225602X
1051211255	138756244
1051217148	122838009
1051217156	133290212
1051217180	1012536564
1051211646	1065006462
1051211735	118586920
1051211824	11699620X
1051217202	117190764
1051212898	117646237
1051217245	124574300
115637176	11759914X
1051212995	133742962
117620157	117105929
1051217253	137643047
105121324X	117267090
1051213304	117643521
1051217261	115801170
1051213460	116816341
1051213878	1016621280
1051213932	117392588
1051217296	128508353
172973864	117261939
1051214262	136047289
1051214416	130151955
1051217326	122457919
1051217342	116978171
