4189464-9	Weingesetz
4192904-4	Quick (Zeitschrift)
4197314-8	Dornröschen
1198338563	Stein- & Burgfest (68. : 2019 : Mayen)
1198338768	Lukasmarkt (614. : 2019 : Mayen)
4205105-8	Pessach-Haggada
4125783-2	Handelsgesetzbuch
4127271-7	Cyankali
4127367-9	Deutschlandlied
1199460842	Koblenzer Debbekooche-Fest (6. : 2019 : Koblenz)
4128905-5	Der Kopflohn
4131239-9	Sparkassengesetz
1199894540	Form + Farbe (Veranstaltung : 2019 : Koblenz)
4139794-0	Heidelberger Katechismus
4147263-9	Capitulare de villis
4152585-1	Erbgesundheitsgesetz
4099216-0	Erec
4065777-2	Westfälischer Frieden (1648 Oktober 24)
4069719-8	Bürgerliches Gesetzbuch
4021521-0	Goldene Bulle
4045113-6	Bibel. Pentateuch
4047632-7	Bibel. Psalmen
4062399-3	Vaterunser
4001515-4	Bibel. Altes Testament
4160213-4	Hochschulgesetz
4163993-5	Klage (Epos)
4164367-7	Kölnische Zeitung
4168829-6	Mannheimer Rheinschiffahrtsakte (1868 Oktober 17)
4172745-9	Orendel
4209654-6	Die Nibelungen (Film)
4112712-2	Wozzeck
4112854-0	Bundesausbildungsförderungsgesetz
4173971-1	Peutingersche Tafel
4177512-0	Reichskonkordat
4122065-1	Baugesetzbuch
4251062-4	Atlas der deutschen Volkskunde
1251915035	Veranstaltung 50 Jahre Bundeskanzler Brandt (2019 : Unkel)
4254490-7	Editio Bipontina
4257120-0	Gentechnikgesetz
4263539-1	Trierer Osterspiel
4268232-0	Kindertagesstättengesetz
1169872174	Arbeitskreis zur Erforschung der nationalsozialistischen  Euthanasie und Zwangssterilisation. Herbsttagung (2016 : Klingenmünster)
4273614-6	Ebstorfer Weltkarte
1170201350	Bibliothekstage Rheinland-Pfalz (9. : 2018 : Rheinland-Pfalz)
1170415113	Elisabeth-Langgässer-Literaturpreis der Stadt Alzey (Veranstaltung : 1994 : Alzey)
4277121-3	Biografie
4277716-1	Bibel. Thessalonicherbrief, 1., 4,13-18
1170730841	Wald- und Sommernachtsfest (50. : 2018 : Lehmen)
1171000294	Lukasmarkt (613. : 2018 : Mayen)
4288384-2	Transit
1172214093	Europäisches Filmfestival der Generationen (Verband Region Rhein-Neckar : 9. : 2018 : Mannheim; Ludwigshafen; Heidelberg)
1173751718	Kunstausstellung Michael Barthel (2008 : Kirn)
4236580-6	Historia ecclesiastica gentis Anglorum
4242487-2	Panegyrici Latini
4243058-6	Heimat (Film)
1234513501	Männergesangverein 1885 Rodalben. Stiftungsfest mit Gesangs-Wettstreit (20. : 1905 : Rodalben)
1243109467	Biografie
4221377-0	Rituale Romanum
1235708128	Die Familie Stamitz und die europäische Musikermigration im 18. Jahrhundert (Veranstaltung : 2017 : Schwetzingen; Mannheim)
1266882006	Kultursommer Rheinland-Pfalz (2022 : Mainz u.a.)
1266887083	Festival des Deutschen Films (18. : 2022 : Ludwigshafen am Rhein)
1267428341	Europäische Vereinigung Bildender Künstler aus Eifel und Ardennen. Jahresausstellung (64. : 2022-2023 : Prüm; Eupen; Trier)
1267497580	Karthäuser Kirmes (75. : 2022 : Koblenz-Karthause)
1267505915	Eulekärmes (2022 : Koblenz-Metternich)
7781290-6	Küchenmeisterei
7786736-1	Die Eifel (Zeitschrift)
7795954-1	Romanusbüchlein
4325436-6	Colmarer Liederhandschrift
300115946	Carmina burana
1238724795	Luther
300169868	Der Ring des Nibelungen. Dritter Tag: Götterdämmerung
1254240497	Tagung der Kooperation Römisch-Germanisches Zentralmuseum und Ingelheim am Rhein, Forschungsstelle Kaiserpfalz (2 : 2019 : Mayen)
300064055	Alcina
126232341X	Vocatium Koblenz (Veranstaltung : 2022 : Koblenz)
1262936454	Blütenfest (1981 : Budenheim)
1264846592	Altenkirchener Schützengesellschaft 1845. Schützen- und Volksfest (65. : 2022 : Altenkirchen (Westerwald))
1264947925	Jubiläums-Tagung 50 Jahre Innung (2019 : Koblenz)
126160511X	Joseph Balsamo
300093829	Hunnenschlacht nach Kaulbach
1247670856	Sängerkreis-Chorfest des Sängerkreises Bitburg-Prüm (7. : 1978 : Neuerburg)
1256043079	Friede von Basel (1499 September 22)
1256074012	Mainzer Reichslandfrieden
1177353970	Agrartage Rheinhessen (69. : 2018 : Nieder-Olm)
1194348874	Kunstausstellung Kirn (2011 : Kirn)
1196138532	Deutscher Athletik-Sport-Verband von 1891. Bezirk Südhessen. Schwerathletisches Bezirksvest (1. : Laubenheim : 1934)
1196631018	Vorstadtkirmes (72. : 2019 : Koblenz)
1079818154	Pfälzer Gemüsebautag (34. : 2015 : Neustadt an der Weinstraße)
1080964304	Tag des Gedenkens an die Opfer des Nationalsozialismus (2015 : Mainz)
