spatial	broader
https://d-nb.info/gnd/4126432-0	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4110084-0	https://rpb.lobid.org/spatial#n20
https://d-nb.info/gnd/4038114-6	https://rpb.lobid.org/spatial#n4038114n6
https://d-nb.info/gnd/4031415-7	https://rpb.lobid.org/spatial#n4031415n7
https://d-nb.info/gnd/4383700-1	https://rpb.lobid.org/spatial#n4383700n1
https://d-nb.info/gnd/4095533-3	https://rpb.lobid.org/spatial#n10
https://d-nb.info/gnd/4031416-9	https://rpb.lobid.org/spatial#n4031416n9
https://d-nb.info/gnd/4095533-3	https://rpb.lobid.org/spatial#n10
https://d-nb.info/gnd/4548284-6	https://rpb.lobid.org/spatial#n4548284n6
https://d-nb.info/gnd/4110084-0	https://rpb.lobid.org/spatial#n20
https://d-nb.info/gnd/4064074-7	https://rpb.lobid.org/spatial#n20
https://d-nb.info/gnd/4114920-8	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4329692-0	https://rpb.lobid.org/spatial#n11
https://d-nb.info/gnd/4417112-2	https://rpb.lobid.org/spatial#n01
https://d-nb.info/gnd/4038114-6	https://rpb.lobid.org/spatial#n4038114n6
https://d-nb.info/gnd/4110084-0	https://rpb.lobid.org/spatial#n20
https://d-nb.info/gnd/4548284-6	https://rpb.lobid.org/spatial#n4548284n6
https://d-nb.info/gnd/4031415-7	https://rpb.lobid.org/spatial#n4031415n7
https://d-nb.info/gnd/4126432-0	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4031416-9	https://rpb.lobid.org/spatial#n4031416n9
https://d-nb.info/gnd/4548284-6	https://rpb.lobid.org/spatial#n4548284n6
https://d-nb.info/gnd/4126432-0	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4119314-3	https://rpb.lobid.org/spatial#n10
https://d-nb.info/gnd/4031416-9	https://rpb.lobid.org/spatial#n4031416n9
https://d-nb.info/gnd/4548284-6	https://rpb.lobid.org/spatial#n4548284n6
https://d-nb.info/gnd/4766893-3	https://rpb.lobid.org/spatial#n49
https://d-nb.info/gnd/4548284-6	https://rpb.lobid.org/spatial#n4548284n6
https://d-nb.info/gnd/4766893-3	https://rpb.lobid.org/spatial#n49
https://d-nb.info/gnd/4316101-7	https://rpb.lobid.org/spatial#n24
https://d-nb.info/gnd/4766893-3	https://rpb.lobid.org/spatial#n49
https://d-nb.info/gnd/4039705-1	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4031415-7	https://rpb.lobid.org/spatial#n4031415n7
