983	rpbId
HT015992466	929t093676
HT016054630	929t094595
HT016094924	929t100900
HT016291741	929t101937
HT016643408	929t110123
HT016838190	929t112960
HT016931655	929t114150
HT016365809	929t114827
HT017078485	929t120076
HT017103352	929t120642
HT017164449	929t120949
HT016876164	929t123015
HT017574402	929t131081
HT017595078	929t131388
HT017583455	929t131509
HT017752297	929t133285
HT017752297	929t133286
HT017752297	929t133287
HT017752297	929t133288
HT017752297	929t133289
HT017752297	929t133290
HT017752297	929t133291
HT017752297	929t133292
HT017752297	929t133293
HT017752297	929t133294
HT017752297	929t133295
HT017752297	929t133296
HT017752297	929t133297
HT017752297	929t133298
HT017752297	929t133299
HT017752297	929t133300
HT017752297	929t133301
HT017752297	929t133302
HT017752297	929t133303
HT017752297	929t133304
HT017752297	929t133305
HT017752297	929t133306
HT017752297	929t133307
HT017752297	929t133308
HT017752297	929t133309
HT017752297	929t133310
HT017752297	929t133311
HT017752297	929t133312
HT017752297	929t133313
HT017752297	929t133314
HT017752297	929t133315
HT017752297	929t133316
HT017752297	929t133320
HT017752297	929t133321
HT017752297	929t133322
HT017752297	929t133323
HT017752297	929t133324
HT017752297	929t133325
HT017752297	929t133326
HT017752297	929t133327
HT017752297	929t133328
HT017752297	929t133329
HT017752297	929t133330
HT017752297	929t133331
HT017752297	929t133332
HT017752297	929t133333
HT017752297	929t133334
HT017752297	929t133335
HT017752297	929t133336
HT017752297	929t133337
HT017752297	929t133338
HT017752297	929t133339
HT017752297	929t133340
HT017752297	929t133341
HT017752297	929t133342
HT017752297	929t133343
HT017752297	929t133344
HT017752297	929t133345
HT017752297	929t133346
HT017752297	929t133355
HT017752297	929t133356
HT017752297	929t133357
HT017752297	929t133358
HT017752297	929t133359
HT017752297	929t133360
HT017752297	929t133361
HT017752297	929t133362
HT017752297	929t133363
HT017752297	929t133364
HT017752297	929t133365
HT017752297	929t133366
HT018136175	929t140468
HT018136027	929t140470
HT018294489	929t142447
HT017749949	929t142545
HT017749818	929t142547
HT018320132	929t142988
HT018538120	929t151021
HT018538120	929t151022
HT018538120	929t151023
HT018538120	929t151024
HT018538120	929t151025
HT018538120	929t151026
HT018720251	929t152431
HT018845884	929t160805
HT018845884	929t160806
HT018845884	929t160807
HT018845884	929t160808
HT018845884	929t160809
HT018845884	929t160810
HT018845884	929t160811
HT018845884	929t160812
HT018845884	929t160813
HT018845884	929t160814
HT018845884	929t160815
HT018845884	929t160816
HT018845884	929t160817
HT018845884	929t160818
HT018845884	929t160819
HT018845884	929t160820
HT018845884	929t160821
HT018845884	929t160822
HT018845884	929t160849
HT018845884	929t160850
HT018845884	929t160851
HT018845884	929t160852
HT018845884	929t160853
HT018845884	929t160854
HT018845884	929t160855
HT018845884	929t160856
HT018845884	929t160857
HT018845884	929t160858
HT018845884	929t160859
HT018845884	929t160860
HT018845884	929t160861
HT018845884	929t160862
HT018845884	929t160863
HT018845884	929t160864
HT018845884	929t160865
HT018845884	929t160866
HT018845884	929t160867
HT018845884	929t160868
HT018845884	929t160869
HT018845884	929t160870
HT018845884	929t160871
HT018845884	929t160872
HT018845884	929t160873
